Date,Price
2019/11/14,27.83
2019/11/15,27.88
2019/11/18,28.05
2019/11/19,28.14
2019/11/20,28.09
2019/11/21,28
2019/11/22,28.01
2019/11/25,27.99
2019/11/26,28.06
2019/11/27,28.04
2019/11/28,28.03
2019/11/29,27.75
2019/12/2,27.65
2019/12/3,27.92
2019/12/4,27.88
2019/12/5,28.03
2019/12/6,28.13
2019/12/9,28.21
2019/12/10,28.14
2019/12/11,28.21
2019/12/12,28.31
2019/12/13,28.37
2019/12/16,28.57
2019/12/17,28.71
2019/12/18,28.77
2019/12/19,28.69
2019/12/20,28.8
2019/12/23,28.72
2019/12/24,28.74
2019/12/25,28.83
2019/12/26,28.86
2019/12/27,28.9
2019/12/30,29
2019/12/31,28.97
2020/1/2,29.09
2020/1/3,29.18
2020/1/6,28.96
2020/1/7,28.69
2020/1/8,28.5
2020/1/9,28.7
2020/1/10,28.69
2020/1/13,28.84
2020/1/14,29.02
2020/1/15,29.01
2020/1/16,29.1
2020/1/17,29.16
2020/1/20,29.19
2020/1/30,27.7
2020/1/31,27.92
2020/2/3,27.74
2020/2/4,28.12
2020/2/5,28.08
2020/2/6,28.44
2020/2/7,28.23
2020/2/10,28.14
2020/2/11,28.34
2020/2/12,28.56
2020/2/13,28.64
2020/2/14,28.79
2020/2/17,28.8
2020/2/18,28.8
2020/2/19,28.96
2020/2/20,28.93
2020/2/21,28.9
2020/2/24,28.7
2020/2/25,28.67
2020/2/26,28.3
2020/2/27,27.9
2020/3/2,27.75
2020/3/3,27.93
2020/3/4,27.86
2020/3/5,28.1
2020/3/6,27.88
2020/3/9,27.25
2020/3/10,27.25
2020/3/11,26.97
2020/3/12,25.93
2020/3/13,25.29
2020/3/16,24.41
2020/3/17,23.67
2020/3/18,23.29
2020/3/19,21.85
2020/3/20,23.28
2020/3/23,22.49
2020/3/24,23.38
2020/3/25,24.09
2020/3/26,24.26
2020/3/27,24.35
2020/3/30,24.32
2020/3/31,24.49
2020/4/1,24.52
2020/4/6,24.84
2020/4/7,25.22
2020/4/8,25.77
2020/4/9,25.65
2020/4/10,25.73
2020/4/13,25.68
2020/4/14,26.05
2020/4/15,26.47
2020/4/16,26.44
2020/4/17,26.5
2020/4/20,26.6
2020/4/21,26.1
2020/4/22,26.23
2020/4/23,26.34
2020/4/24,26.33
2020/4/27,26.79
2020/4/28,26.91
2020/4/29,27.07
2020/4/30,27.46
2020/5/4,27.09
2020/5/5,27.33
2020/5/6,27.32
2020/5/7,27.4
2020/5/8,27.5
2020/5/11,27.66
2020/5/12,27.55
2020/5/13,27.75
2020/5/14,27.48
2020/5/15,27.43
2020/5/18,27.25
2020/5/19,27.43
2020/5/20,27.48
2020/5/21,27.63
2020/5/22,27.45
2020/5/25,27.5
2020/5/26,27.82
2020/5/27,27.85
2020/5/28,27.9
2020/5/29,27.86
2020/6/1,28.05
2020/6/2,28.17
2020/6/3,28.48
2020/6/4,28.67
2020/6/5,28.8
2020/6/8,28.88
2020/6/9,28.84
2020/6/10,28.86
2020/6/11,28.43
2020/6/12,28.29
2020/6/15,28.13
2020/6/16,28.45
2020/6/17,28.46
2020/6/18,28.55
2020/6/19,28.56
2020/6/22,28.48
2020/6/23,28.54
2020/6/24,28.54
2020/6/29,28.51
2020/6/30,28.56
2020/7/1,28.79
2020/7/2,29.09
2020/7/3,29.33
2020/7/6,29.83
2020/7/7,29.43
2020/7/8,29.72
2020/7/9,29.74
2020/7/10,29.52
2020/7/13,29.65
2020/7/14,29.58
2020/7/15,29.53
2020/7/16,29.63
2020/7/17,29.59
2020/7/20,29.55
2020/7/21,29.84
2020/7/22,29.97
2020/7/23,30.17
2020/7/24,29.85
2020/7/27,29.84
2020/7/28,29.46
2020/7/29,29.62
2020/7/30,29.99
2020/7/31,30.24
2020/8/3,30.01
2020/8/4,30.17
2020/8/5,30.62
2020/8/6,30.7
2020/8/7,30.65
2020/8/10,30.6
2020/8/11,30.35
2020/8/12,30.22
2020/8/13,30.32
2020/8/14,30.63
2020/8/17,30.96
2020/8/18,30.9
2020/8/19,30.77
2020/8/20,29.79
2020/8/21,30.11
2020/8/24,30.14
2020/8/25,30.44
2020/8/26,30.43
2020/8/27,30.33
2020/8/28,30.24
2020/8/31,30.16
2020/9/1,30.06
2020/9/2,30.14
2020/9/3,30.25
2020/9/4,30.09
2020/9/7,29.96
2020/9/8,29.97
2020/9/9,29.85
2020/9/10,29.85
2020/9/11,29.75
2020/9/14,29.98
2020/9/15,30.1
2020/9/16,30.25
2020/9/17,30.23
2020/9/18,30.2
2020/9/21,30.03
2020/9/22,29.8
2020/9/23,29.7
2020/9/24,29.06
2020/9/25,28.9
2020/9/28,29.38
2020/9/29,29.4
2020/9/30,29.48
2020/10/5,29.45
2020/10/6,29.68
2020/10/7,29.65
2020/10/8,29.76
2020/10/12,29.74
2020/10/13,29.71
2020/10/14,29.74
2020/10/15,29.69
2020/10/16,29.56
2020/10/19,29.64
2020/10/20,29.64
2020/10/21,29.59
2020/10/22,29.59
2020/10/23,29.63
2020/10/26,29.69
2020/10/27,29.69
2020/10/28,28.19
2020/10/29,27.98
2020/10/30,27.8
2020/11/2,27.72
2020/11/3,28.01
2020/11/4,28.05
2020/11/5,28.12
2020/11/6,28.19
2020/11/9,28.4
2020/11/10,28.29
2020/11/11,28.5
2020/11/12,28.4
2020/11/13,28.53
2020/11/16,28.8
2020/11/17,28.81
2020/11/18,28.9
2020/11/19,28.86
2020/11/20,28.88
2020/11/23,29.14
2020/11/24,29.11
2020/11/25,29.01
2020/11/26,29.15
2020/11/27,29.32
2020/11/30,29.35
2020/12/1,29.35
2020/12/2,29.44
2020/12/3,29.45
2020/12/4,29.68
2020/12/7,29.85
2020/12/8,29.9
2020/12/9,30.14
2020/12/10,29.94
2020/12/11,29.81
2020/12/14,29.82
2020/12/15,29.51
2020/12/16,29.8
2020/12/17,29.66
2020/12/18,29.61
2020/12/21,29.6
2020/12/22,29.43
2020/12/23,29.42
2020/12/24,29.48
2020/12/25,29.51
2020/12/28,29.75
2020/12/29,29.67
2020/12/30,29.78
2020/12/31,29.95
2021/1/4,29.94
2021/1/5,30.02
2021/1/6,30
2021/1/7,30.22
2021/1/8,30.46
2021/1/11,30.61
2021/1/12,30.35
2021/1/13,30.69
2021/1/14,30.92
2021/1/15,30.79
2021/1/18,30.61
2021/1/19,30.74
2021/1/20,30.25
2021/1/21,30.3
2021/1/22,30.53
2021/1/25,30.83
2021/1/26,30.68
2021/1/27,30.95
2021/1/28,30.72
2021/1/29,30.26
2021/2/1,30.25
2021/2/2,30.5
2021/2/3,30.51
2021/2/4,30.51
2021/2/5,30.55
2021/2/17,31
2021/2/18,31.13
2021/2/19,31.12
2021/2/22,31.5
2021/2/23,31.8
2021/2/24,31.8
2021/2/25,32.01
2021/2/26,31.9
2021/3/2,31.9
2021/3/3,31.93
2021/3/4,31.8
2021/3/5,31.8
2021/3/8,32
2021/3/9,32
2021/3/10,32.1
2021/3/11,32.33
2021/3/12,32.43
2021/3/15,32.74
2021/3/16,32.99
2021/3/17,32.95
2021/3/18,33.53
2021/3/19,33.6
2021/3/22,33.6
2021/3/23,33.66
2021/3/24,33.65
2021/3/25,33.66
2021/3/26,33.8
2021/3/29,34.34
2021/3/30,34.6
2021/3/31,34.63
,
